Partners,Date,NB,1,2,3,4,5,6,Pullups,Total,Running Total,Ever to Date,Year to Date,,
NICE Highlands Apartments,1/4/2020,500,400,450,600,600,600,600,,3750,3750,2321750,,,
Martha O'Bryan,1/7/2020,,,,,600,600,600,,1800,5550,2323550,,,
Madison Hispanic 7th Day,1/7/2020,,,450,450,500,750,750,,2900,8450,2326450,,"2,900",
Legacy Mission Village,1/7/2020,1000,1000,1600,2375,4500,4800,4800,,20075,28525,2346525,,,
Tusculum Elementary,1/7/2020,150,175,150,150,150,150,150,,1075,29600,2347600,,,
Cole Elementary,1/7/2020,,,,375,300,300,300,,1275,30875,2348875,,,
Glenview Elementary,1/7/2020,,400,,,400,450,450,,1700,32575,2350575,,"1,700",
Glencliff High School,1/9/2020,,,,,400,400,450,,1250,33825,2351825,,,
Nurses for Newborns,1/10/2020,250,,,300,,300,,,850,34675,2352675,,850,
NeedLink Nashville,1/13/2020,,225,,300,300,300,450,,1575,36250,2354250,,"1,575",
Catholic Charities,1/14/2020,,,,800,800,800,800,,3200,39450,2357450,,"3,200",
Fall Hamilton Elementary,1/14/2020,,,,,,300,300,,600,40050,2358050,,,
Martha O'Bryan,1/14/2020,,,,,750,750,750,,2250,42300,2362646,,,
Nashville Women's Rescue Mission,1/20/2020,,,,,,300,300,,600,42900,2363246,,,
NICE Highlands Apartments,1/25/2020,400,500,550,700,750,750,750,,4400,47300,2367646,,,
Catholic Charities,1/27/2020,800,,,900,900,900,900,,4400,51700,2372046,,"4,400",
Connectus Priest Lake,1/27/2020,800,600,600,600,600,600,600,,4400,56100,2376446,,"4,400",
Monroe Harding,1/27/2020,400,500,400,450,750,450,900,192,4042,60142,2380488,,"4,042",
Buena Vista Elementary,1/27/2020,,,,,,375,425,,800,60942,2381288,,,
McMurray Middle School,1/27/2020,200,175,150,150,150,150,150,,1125,62067,2382413,,,
Safe Room,1/14/2020,,450,450,450,,450,450,96,2346,64413,2360396,,"2,346",
NeedLink Nashville,1/31/2020,,,,300,300,450,600,,1650,66063,2384063,,"1,650","66,063"
Two Rivers Middle School,2/3/2020,300,,,450,450,450,450,,2100,2100,2386163,,,
Tom Joy Elementary,2/3/2020,300,200,200,150,150,150,150,,1300,3400,2387463,,,
Legacy Mission Village,2/3/2020,1000,1100,1600,2675,4950,4950,4950,,21225,24625,2408688,,,
