LocationType,Location,TimeFrame,DataFormat,Data
State,Tennessee,1999,Percent,0.17
State,Tennessee,2000,Percent,0.174
State,Tennessee,2001,Percent,0.179
State,Tennessee,2002,Percent,0.199
State,Tennessee,2003,Percent,0.232
State,Tennessee,2004,Percent,0.26
State,Tennessee,2005,Percent,0.271
State,Tennessee,2006,Percent,0.278
State,Tennessee,2007,Percent,0.26287
State,Tennessee,2008,Percent,0.316
State,Tennessee,2009,Percent,0.3341
State,Tennessee,1999,Number,235059
State,Tennessee,2000,Number,242796
State,Tennessee,2001,Number,249645
State,Tennessee,2002,Number,282377
State,Tennessee,2003,Number,330733
State,Tennessee,2004,Number,373071
State,Tennessee,2005,Number,393137
State,Tennessee,2006,Number,404463
State,Tennessee,2007,Number,401925
State,Tennessee,2008,Number,413759
State,Tennessee,2009,Number,488686
State,Tennessee,2010,Number,518093
State,Tennessee,2010,Percent,0.34632
State,Tennessee,2011,Number,540261
State,Tennessee,2011,Percent,0.36199
State,Tennessee,2012,Number,546857
State,Tennessee,2012,Percent,0.36651
State,Tennessee,2013,Number,541904
State,Tennessee,2013,Percent,0.36394
State,Tennessee,2014,Number,530789
State,Tennessee,2014,Percent,0.35654
State,Tennessee,2015,Number,505617
State,Tennessee,2015,Percent,0.33946
State,Tennessee,2016,Number,481341
State,Tennessee,2016,Percent,0.32316
State,Tennessee,2017,Number,477192
State,Tennessee,2017,Percent,0.3178
State,Tennessee,2018,Number,423289
State,Tennessee,2018,Percent,0.28163
State,Tennessee,2019,Number,420947
State,Tennessee,2019,Percent,0.27938
County,Anderson,1999,Percent,0.188
County,Anderson,2000,Percent,0.192
County,Anderson,2001,Percent,0.211
County,Anderson,2002,Percent,0.225
County,Anderson,2003,Percent,0.252
County,Anderson,2004,Percent,0.271
County,Anderson,2005,Percent,0.275
County,Anderson,2006,Percent,0.276
County,Anderson,2007,Percent,0.2584
County,Anderson,2008,Percent,0.281
County,Anderson,2009,Percent,0.31747
County,Anderson,1999,Number,3333
County,Anderson,2000,Number,3450
County,Anderson,2001,Number,3481
County,Anderson,2002,Number,3702
County,Anderson,2003,Number,4144
County,Anderson,2004,Number,4456
County,Anderson,2005,Number,4525
County,Anderson,2006,Number,4524
County,Anderson,2007,Number,4458
County,Anderson,2008,Number,4560
County,Anderson,2009,Number,5140
County,Anderson,2010,Number,5758
County,Anderson,2010,Percent,0.34971
County,Anderson,2011,Number,5951.5
County,Anderson,2011,Percent,0.37206
County,Anderson,2012,Number,5903.91667
County,Anderson,2012,Percent,0.37104
County,Anderson,2013,Number,5770
County,Anderson,2013,Percent,0.36668
County,Anderson,2014,Number,5659.91667
County,Anderson,2014,Percent,0.36179
County,Anderson,2015,Number,5375.16667
County,Anderson,2015,Percent,0.34364
County,Anderson,2016,Number,5145
County,Anderson,2016,Percent,0.32892
County,Anderson,2017,Number,5338.91667
County,Anderson,2017,Percent,0.3354
County,Anderson,2018,Number,4510.66667
County,Anderson,2018,Percent,0.28419
County,Anderson,2019,Number,4581
County,Anderson,2019,Percent,0.28542
County,Bedford,1999,Percent,0.099
County,Bedford,2000,Percent,0.131
County,Bedford,2001,Percent,0.122
County,Bedford,2002,Percent,0.132
County,Bedford,2003,Percent,0.183
County,Bedford,2004,Percent,0.234
County,Bedford,2005,Percent,0.254
County,Bedford,2006,Percent,0.277
County,Bedford,2007,Percent,0.27319
County,Bedford,2008,Percent,0.314
County,Bedford,2009,Percent,0.43176
County,Bedford,1999,Number,887
County,Bedford,2000,Number,1193
County,Bedford,2001,Number,1178
County,Bedford,2002,Number,1342
County,Bedford,2003,Number,1901
County,Bedford,2004,Number,2496
County,Bedford,2005,Number,2774
County,Bedford,2006,Number,3087
County,Bedford,2007,Number,3289
County,Bedford,2008,Number,3667
County,Bedford,2009,Number,5156
County,Bedford,2010,Number,5867
County,Bedford,2010,Percent,0.48609
County,Bedford,2011,Number,4976.33333
County,Bedford,2011,Percent,0.41445
County,Bedford,2012,Number,5249.58333
County,Bedford,2012,Percent,0.43634
County,Bedford,2013,Number,5368.08333
County,Bedford,2013,Percent,0.44738
County,Bedford,2014,Number,5350.66667
County,Bedford,2014,Percent,0.44104
County,Bedford,2015,Number,5287.91667
County,Bedford,2015,Percent,0.43415
County,Bedford,2016,Number,5044.41667
County,Bedford,2016,Percent,0.41416
County,Bedford,2017,Number,4809.5
County,Bedford,2017,Percent,0.39702
County,Bedford,2018,Number,4593.66667
County,Bedford,2018,Percent,0.37307
County,Bedford,2019,Number,4355
County,Bedford,2019,Percent,0.34994
County,Benton,1999,Percent,0.193
County,Benton,2000,Percent,0.177
County,Benton,2001,Percent,0.199
County,Benton,2002,Percent,0.223
