LocationType,Location,TimeFrame,DataFormat,Data
State,Tennessee,1999,Percent,0.078
State,Tennessee,2000,Percent,0.079
State,Tennessee,2001,Percent,0.081
State,Tennessee,2002,Percent,0.085
State,Tennessee,2003,Percent,0.086
State,Tennessee,2004,Percent,0.09
State,Tennessee,2005,Percent,0.088
State,Tennessee,2006,Percent,0.084
State,Tennessee,2007,Percent,0.07771
State,Tennessee,2008,Percent,0.07026
State,Tennessee,2009,Percent,0.073
State,Tennessee,1999,Number,108069
State,Tennessee,2000,Number,111049
State,Tennessee,2001,Number,113124
State,Tennessee,2002,Number,120010
State,Tennessee,2003,Number,122435
State,Tennessee,2004,Number,129667
State,Tennessee,2005,Number,127646
State,Tennessee,2006,Number,121793
State,Tennessee,2007,Number,112298
State,Tennessee,2008,Number,102141
State,Tennessee,2009,Number,106730
State,Tennessee,2010,Number,119929
State,Tennessee,2010,Percent,0.0802
State,Tennessee,2011,Number,116024
State,Tennessee,2011,Percent,0.07774
State,Tennessee,2012,Number,108253
State,Tennessee,2012,Percent,0.07255
State,Tennessee,2013,Number,94648
State,Tennessee,2013,Percent,0.06357
State,Tennessee,2014,Number,86595
State,Tennessee,2014,Percent,0.05817
State,Tennessee,2015,Number,70483
State,Tennessee,2015,Percent,0.04732
State,Tennessee,2016,Number,56177
State,Tennessee,2016,Percent,0.03772
State,Tennessee,2017,Number,47897.41667
State,Tennessee,2017,Percent,0.0319
State,Tennessee,2018,Number,40731
State,Tennessee,2018,Percent,0.0271
State,Tennessee,2019,Number,34683
State,Tennessee,2019,Percent,0.02302
County,Anderson,1999,Percent,0.061
County,Anderson,2000,Percent,0.061
County,Anderson,2001,Percent,0.066
County,Anderson,2002,Percent,0.065
County,Anderson,2003,Percent,0.059
County,Anderson,2004,Percent,0.056
County,Anderson,2005,Percent,0.048
County,Anderson,2006,Percent,0.043
County,Anderson,2007,Percent,0.04321
County,Anderson,2008,Percent,0.04054
County,Anderson,2009,Percent,0.044
County,Anderson,1999,Number,1082
County,Anderson,2000,Number,1088
County,Anderson,2001,Number,1097
County,Anderson,2002,Number,1073
County,Anderson,2003,Number,964
County,Anderson,2004,Number,928
County,Anderson,2005,Number,791
County,Anderson,2006,Number,710
County,Anderson,2007,Number,703
County,Anderson,2008,Number,658
County,Anderson,2009,Number,715
County,Anderson,2010,Number,810
County,Anderson,2010,Percent,0.0492
County,Anderson,2011,Number,832.58333
County,Anderson,2011,Percent,0.05205
County,Anderson,2012,Number,839.5
County,Anderson,2012,Percent,0.05276
County,Anderson,2013,Number,751.33333
County,Anderson,2013,Percent,0.04775
County,Anderson,2014,Number,673.33333
County,Anderson,2014,Percent,0.04304
County,Anderson,2015,Number,580.16667
County,Anderson,2015,Percent,0.03709
County,Anderson,2016,Number,528.5
County,Anderson,2016,Percent,0.03379
County,Anderson,2017,Number,494.91667
County,Anderson,2017,Percent,0.03109
County,Anderson,2018,Number,463.25
County,Anderson,2018,Percent,0.02919
County,Anderson,2019,Number,453
County,Anderson,2019,Percent,0.02822
County,Bedford,1999,Percent,0.031
County,Bedford,2000,Percent,0.039
County,Bedford,2001,Percent,0.037
County,Bedford,2002,Percent,0.034
County,Bedford,2003,Percent,0.036
County,Bedford,2004,Percent,0.048
County,Bedford,2005,Percent,0.054
County,Bedford,2006,Percent,0.059
County,Bedford,2007,Percent,0.06107
County,Bedford,2008,Percent,0.05735
County,Bedford,2009,Percent,0.061
County,Bedford,1999,Number,280
County,Bedford,2000,Number,351
County,Bedford,2001,Number,361
County,Bedford,2002,Number,344
County,Bedford,2003,Number,378
County,Bedford,2004,Number,508
County,Bedford,2005,Number,589
County,Bedford,2006,Number,662
County,Bedford,2007,Number,696
County,Bedford,2008,Number,669
County,Bedford,2009,Number,726
County,Bedford,2010,Number,1043
County,Bedford,2010,Percent,0.0864
County,Bedford,2011,Number,878.75
County,Bedford,2011,Percent,0.07319
County,Bedford,2012,Number,872
County,Bedford,2012,Percent,0.07248
County,Bedford,2013,Number,740.41667
County,Bedford,2013,Percent,0.06171
County,Bedford,2014,Number,714.25
County,Bedford,2014,Percent,0.05887
County,Bedford,2015,Number,645.16667
County,Bedford,2015,Percent,0.05297
County,Bedford,2016,Number,540.58333
County,Bedford,2016,Percent,0.04438
County,Bedford,2017,Number,465.58333
County,Bedford,2017,Percent,0.03843
County,Bedford,2018,Number,368.33333
County,Bedford,2018,Percent,0.02991
County,Bedford,2019,Number,290
County,Bedford,2019,Percent,0.0233
County,Benton,1999,Percent,0.043
County,Benton,2000,Percent,0.043
County,Benton,2001,Percent,0.04
County,Benton,2002,Percent,0.049
County,Benton,2003,Percent,0.054
County,Benton,2004,Percent,0.057
County,Benton,2005,Percent,0.064
County,Benton,2006,Percent,0.066
County,Benton,2007,Percent,0.0638
County,Benton,2008,Percent,0.0574
County,Benton,2009,Percent,0.061
County,Benton,1999,Number,163
County,Benton,2000,Number,162
County,Benton,2001,Number,145
County,Benton,2002,Number,177
County,Benton,2003,Number,198
County,Benton,2004,Number,206
County,Benton,2005,Number,234
County,Benton,2006,Number,241
County,Benton,2007,Number,215
County,Benton,2008,Number,193
County,Benton,2009,Number,205
County,Benton,2010,Number,217
County,Benton,2010,Percent,0.0641
County,Benton,2011,Number,212.41667
County,Benton,2011,Percent,0.06453
County,Benton,2012,Number,208.25
County,Benton,2012,Percent,0.06424
County,Benton,2013,Number,171.5
County,Benton,2013,Percent,0.05351
County,Benton,2014,Number,161.5
County,Benton,2014,Percent,0.05137
County,Benton,2015,Number,127.08333
County,Benton,2015,Percent,0.04025
County,Benton,2016,Number,101.58333
County,Benton,2016,Percent,0.03218
County,Benton,2017,Number,100.83333
County,Benton,2017,Percent,0.03262
County,Benton,2018,Number,91.25
County,Benton,2018,Percent,0.02841
County,Benton,2019,Number,82
County,Benton,2019,Percent,0.02578
County,Bledsoe,1999,Percent,0.057
County,Bledsoe,2000,Percent,0.058
County,Bledsoe,2001,Percent,0.052
County,Bledsoe,2002,Percent,0.047
County,Bledsoe,2003,Percent,0.039
County,Bledsoe,2004,Percent,0.044
County,Bledsoe,2005,Percent,0.055
County,Bledsoe,2006,Percent,0.052
County,Bledsoe,2007,Percent,0.05868
County,Bledsoe,2008,Percent,0.05102
County,Bledsoe,2009,Percent,0.05
County,Bledsoe,1999,Number,136
County,Bledsoe,2000,Number,140
County,Bledsoe,2001,Number,149
County,Bledsoe,2002,Number,138
County,Bledsoe,2003,Number,116
County,Bledsoe,2004,Number,130
County,Bledsoe,2005,Number,166
County,Bledsoe,2006,Number,158
County,Bledsoe,2007,Number,164
County,Bledsoe,2008,Number,144
County,Bledsoe,2009,Number,140
County,Bledsoe,2010,Number,144
County,Bledsoe,2010,Percent,0.0521
County,Bledsoe,2011,Number,135.16667
County,Bledsoe,2011,Percent,0.05049
County,Bledsoe,2012,Number,114.83333
County,Bledsoe,2012,Percent,0.0435
County,Bledsoe,2013,Number,131.83333
County,Bledsoe,2013,Percent,0.05363
County,Bledsoe,2014,Number,163.33333
County,Bledsoe,2014,Percent,0.06866
County,Bledsoe,2015,Number,170.41667
County,Bledsoe,2015,Percent,0.07273
County,Bledsoe,2016,Number,163.83333
County,Bledsoe,2016,Percent,0.06992
County,Bledsoe,2017,Number,120.41667
County,Bledsoe,2017,Percent,0.0519
County,Bledsoe,2018,Number,90.08333
County,Bledsoe,2018,Percent,0.0406
County,Bledsoe,2019,Number,72
County,Bledsoe,2019,Percent,0.03327
County,Blount,1999,Percent,0.034
County,Blount,2000,Percent,0.031
County,Blount,2001,Percent,0.032
County,Blount,2002,Percent,0.035
County,Blount,2003,Percent,0.034
County,Blount,2004,Percent,0.033
County,Blount,2005,Percent,0.031
County,Blount,2006,Percent,0.033
County,Blount,2007,Percent,0.0351
County,Blount,2008,Percent,0.03276
County,Blount,2009,Percent,0.036
County,Blount,1999,Number,802
County,Blount,2000,Number,735
County,Blount,2001,Number,780
County,Blount,2002,Number,862
County,Blount,2003,Number,832
County,Blount,2004,Number,835
County,Blount,2005,Number,774
County,Blount,2006,Number,836
County,Blount,2007,Number,911
County,Blount,2008,Number,855
County,Blount,2009,Number,944
County,Blount,2010,Number,1055
County,Blount,2010,Percent,0.0385
County,Blount,2011,Number,1110.08333
County,Blount,2011,Percent,0.04132
County,Blount,2012,Number,1047.75
County,Blount,2012,Percent,0.03946
County,Blount,2013,Number,1025.91667
County,Blount,2013,Percent,0.03874
County,Blount,2014,Number,996.25
County,Blount,2014,Percent,0.03779
County,Blount,2015,Number,879.41667
County,Blount,2015,Percent,0.03342
County,Blount,2016,Number,724.83333
County,Blount,2016,Percent,0.02755
County,Blount,2017,Number,624.08333
County,Blount,2017,Percent,0.02374
County,Blount,2018,Number,526
County,Blount,2018,Percent,0.01998
County,Blount,2019,Number,412
County,Blount,2019,Percent,0.01563
County,Bradley,1999,Percent,0.028
County,Bradley,2000,Percent,0.029
County,Bradley,2001,Percent,0.028
County,Bradley,2002,Percent,0.027
County,Bradley,2003,Percent,0.024
County,Bradley,2004,Percent,0.026
County,Bradley,2005,Percent,0.028
County,Bradley,2006,Percent,0.032
County,Bradley,2007,Percent,0.03434
County,Bradley,2008,Percent,0.03117
County,Bradley,2009,Percent,0.036
County,Bradley,1999,Number,555
County,Bradley,2000,Number,569
County,Bradley,2001,Number,585
County,Bradley,2002,Number,566
County,Bradley,2003,Number,508
County,Bradley,2004,Number,557
County,Bradley,2005,Number,615
County,Bradley,2006,Number,712
County,Bradley,2007,Number,736
County,Bradley,2008,Number,675
County,Bradley,2009,Number,784
County,Bradley,2010,Number,986
County,Bradley,2010,Percent,0.0434
County,Bradley,2011,Number,973.5
County,Bradley,2011,Percent,0.04232
County,Bradley,2012,Number,984.83333
County,Bradley,2012,Percent,0.0429
County,Bradley,2013,Number,873.58333
County,Bradley,2013,Percent,0.038
County,Bradley,2014,Number,899.83333
County,Bradley,2014,Percent,0.03888
County,Bradley,2015,Number,778.58333
County,Bradley,2015,Percent,0.0334
County,Bradley,2016,Number,614.83333
County,Bradley,2016,Percent,0.02638
County,Bradley,2017,Number,559.41667
County,Bradley,2017,Percent,0.024
County,Bradley,2018,Number,481.91667
County,Bradley,2018,Percent,0.02059
County,Bradley,2019,Number,445
County,Bradley,2019,Percent,0.01879
County,Campbell,1999,Percent,0.074
County,Campbell,2000,Percent,0.072
County,Campbell,2001,Percent,0.072
County,Campbell,2002,Percent,0.067
County,Campbell,2003,Percent,0.06
County,Campbell,2004,Percent,0.06
County,Campbell,2005,Percent,0.059
County,Campbell,2006,Percent,0.055
County,Campbell,2007,Percent,0.05093
County,Campbell,2008,Percent,0.05656
County,Campbell,2009,Percent,0.064
County,Campbell,1999,Number,682
County,Campbell,2000,Number,658
County,Campbell,2001,Number,661
County,Campbell,2002,Number,614
County,Campbell,2003,Number,544
County,Campbell,2004,Number,544
County,Campbell,2005,Number,537
County,Campbell,2006,Number,503
County,Campbell,2007,Number,454
County,Campbell,2008,Number,504
County,Campbell,2009,Number,571
County,Campbell,2010,Number,576
County,Campbell,2010,Percent,0.0644
County,Campbell,2011,Number,612.83333
County,Campbell,2011,Percent,0.07013
County,Campbell,2012,Number,589.66667
County,Campbell,2012,Percent,0.06901
County,Campbell,2013,Number,559
County,Campbell,2013,Percent,0.06631
County,Campbell,2014,Number,508.66667
County,Campbell,2014,Percent,0.06129
County,Campbell,2015,Number,454.33333
County,Campbell,2015,Percent,0.05582
County,Campbell,2016,Number,396.83333
County,Campbell,2016,Percent,0.04876
County,Campbell,2017,Number,392
County,Campbell,2017,Percent,0.04878
County,Campbell,2018,Number,349.33333
County,Campbell,2018,Percent,0.04347
County,Campbell,2019,Number,324
County,Campbell,2019,Percent,0.04042
County,Cannon,1999,Percent,0.033
County,Cannon,2000,Percent,0.042
County,Cannon,2001,Percent,0.041
County,Cannon,2002,Percent,0.051
County,Cannon,2003,Percent,0.04
County,Cannon,2004,Percent,0.043
County,Cannon,2005,Percent,0.043
County,Cannon,2006,Percent,0.046
County,Cannon,2007,Percent,0.05657
County,Cannon,2008,Percent,0.04537
County,Cannon,2009,Percent,0.047
County,Cannon,1999,Number,101
County,Cannon,2000,Number,133
County,Cannon,2001,Number,134
County,Cannon,2002,Number,169
County,Cannon,2003,Number,134
County,Cannon,2004,Number,144
County,Cannon,2005,Number,145
County,Cannon,2006,Number,159
County,Cannon,2007,Number,177
County,Cannon,2008,Number,143
County,Cannon,2009,Number,150
County,Cannon,2010,Number,146
County,Cannon,2010,Percent,0.047
County,Cannon,2011,Number,118.58333
County,Cannon,2011,Percent,0.04016
County,Cannon,2012,Number,126.08333
County,Cannon,2012,Percent,0.04346
County,Cannon,2013,Number,103.25
County,Cannon,2013,Percent,0.0365
County,Cannon,2014,Number,99.16667
County,Cannon,2014,Percent,0.03452
County,Cannon,2015,Number,88.25
County,Cannon,2015,Percent,0.03072
County,Cannon,2016,Number,81
County,Cannon,2016,Percent,0.02819
County,Cannon,2017,Number,79.08333
County,Cannon,2017,Percent,0.02639
County,Cannon,2018,Number,62.33333
County,Cannon,2018,Percent,0.02036
County,Cannon,2019,Number,50
County,Cannon,2019,Percent,0.01612
County,Carroll,1999,Percent,0.054
County,Carroll,2000,Percent,0.062
