LocationType,Location,TimeFrame,DataFormat,Data
State,Tennessee,1999,Percent,0.244
State,Tennessee,2000,Percent,0.223
State,Tennessee,2001,Percent,0.239
State,Tennessee,2002,Percent,0.246
State,Tennessee,2003,Percent,0.245
State,Tennessee,2004,Percent,0.235
State,Tennessee,2005,Percent,0.244
State,Tennessee,2006,Percent,0.241
State,Tennessee,2007,Percent,0.22972
State,Tennessee,2008,Percent,0.22353
State,Tennessee,1999,Number,112570
State,Tennessee,2000,Number,104116
State,Tennessee,2001,Number,109090
State,Tennessee,2002,Number,113182
State,Tennessee,2003,Number,113766
State,Tennessee,2004,Number,113264
State,Tennessee,2005,Number,115359
State,Tennessee,2006,Number,114783
State,Tennessee,2007,Number,109954
State,Tennessee,2008,Number,107735
State,Tennessee,2009,Number,123345
State,Tennessee,2009,Percent,0.2542
State,Tennessee,2015,Number,141799
State,Tennessee,2015,Percent,0.35255
State,Tennessee,2014,Number,143948
State,Tennessee,2014,Percent,0.35951
State,Tennessee,2013,Number,163200
State,Tennessee,2013,Percent,0.40832
State,Tennessee,2012,Number,167359
State,Tennessee,2012,Percent,0.41428
State,Tennessee,2011,Number,169864
State,Tennessee,2011,Percent,0.41937
State,Tennessee,2010,Number,178283
State,Tennessee,2010,Percent,0.43717
State,Tennessee,2016,Number,137240
State,Tennessee,2016,Percent,0.33668
State,Tennessee,2017,Number,120993
State,Tennessee,2017,Percent,0.29606
State,Tennessee,2018,Number,124488
State,Tennessee,2018,Percent,0.30618
State,Tennessee,2019,Number,112736
State,Tennessee,2019,Percent,0.27728
County,Anderson,1999,Percent,0.263
County,Anderson,2000,Percent,0.222
County,Anderson,2001,Percent,0.262
County,Anderson,2002,Percent,0.274
County,Anderson,2003,Percent,0.255
County,Anderson,2004,Percent,0.235
County,Anderson,2005,Percent,0.329
County,Anderson,2006,Percent,0.244
County,Anderson,2007,Percent,0.22986
County,Anderson,2008,Percent,0.27141
County,Anderson,1999,Number,1500
County,Anderson,2000,Number,1280
County,Anderson,2001,Number,1278
County,Anderson,2002,Number,1344
County,Anderson,2003,Number,1253
County,Anderson,2004,Number,1161
County,Anderson,2005,Number,1627
County,Anderson,2006,Number,1216
County,Anderson,2007,Number,1164
County,Anderson,2008,Number,1382
County,Anderson,2009,Number,1407
County,Anderson,2009,Percent,0.2748
County,Anderson,2015,Number,1357
County,Anderson,2015,Percent,0.34407
County,Anderson,2014,Number,1418
County,Anderson,2014,Percent,0.35583
County,Anderson,2013,Number,1597
County,Anderson,2013,Percent,0.40025
County,Anderson,2012,Number,1670
County,Anderson,2012,Percent,0.41886
County,Anderson,2011,Number,1805
County,Anderson,2011,Percent,0.44535
County,Anderson,2010,Number,1952
County,Anderson,2010,Percent,0.46344
County,Anderson,2016,Number,1234
County,Anderson,2016,Percent,0.29959
County,Anderson,2017,Number,1059
County,Anderson,2017,Percent,0.25873
County,Anderson,2018,Number,1254
County,Anderson,2018,Percent,0.31233
County,Anderson,2019,Number,1167
County,Anderson,2019,Percent,0.29066
County,Bedford,1999,Percent,0.253
