LocationType,Location,TimeFrame,DataFormat,Data
County,Cheatham,1997,Currency,815.0
County,Cheatham,1998,Currency,837.0
County,Cheatham,1999,Currency,853.0
County,Cheatham,2000,Currency,858.0
County,Cheatham,2001,Currency,873.0
County,Cheatham,2002,Currency,898.0
County,Cheatham,2003,Currency,921.0
County,Cheatham,2004,Currency,924.0
County,Cheatham,2005,Currency,854.0
County,Cheatham,2006,Currency,864.0
County,Cheatham,2007,Currency,899.0
County,Cheatham,2008,Currency,679.0
County,Cheatham,2009,Currency,987.0
County,Cheatham,2010,Currency,1047.0
County,Cheatham,2011,Currency,1067.0
County,Cheatham,2012,Currency,974.0
County,Cheatham,2013,Currency,1089.0
County,Cheatham,2014,Currency,1131.0
County,Cheatham,2015,Currency,1130.0
County,Cheatham,2016,Currency,1228.0
County,Cheatham,2017,Currency,1274.0
County,Cheatham,2018,Currency,1327.0
County,Cheatham,2019,Currency,1455.0
County,Davidson,1997,Currency,815.0
County,Davidson,1998,Currency,837.0
County,Davidson,1999,Currency,853.0
County,Davidson,2000,Currency,858.0
County,Davidson,2001,Currency,873.0
County,Davidson,2002,Currency,898.0
County,Davidson,2003,Currency,921.0
County,Davidson,2004,Currency,924.0
County,Davidson,2005,Currency,854.0
County,Davidson,2006,Currency,864.0
County,Davidson,2007,Currency,899.0
County,Davidson,2008,Currency,710.0
County,Davidson,2009,Currency,987.0
County,Davidson,2010,Currency,1047.0
County,Davidson,2011,Currency,1067.0
County,Davidson,2012,Currency,974.0
County,Davidson,2013,Currency,1089.0
County,Davidson,2014,Currency,1131.0
County,Davidson,2015,Currency,1130.0
County,Davidson,2016,Currency,1228.0
County,Davidson,2017,Currency,1274.0
County,Davidson,2018,Currency,1327.0
County,Davidson,2019,Currency,1455.0
County,Hickman,1997,Currency,482.0
County,Hickman,1998,Currency,492.0
County,Hickman,1999,Currency,498.0
County,Hickman,2000,Currency,498.0
County,Hickman,2001,Currency,503.0
County,Hickman,2002,Currency,516.0
County,Hickman,2003,Currency,532.0
County,Hickman,2004,Currency,532.0
County,Hickman,2005,Currency,672.0
County,Hickman,2006,Currency,691.0
County,Hickman,2007,Currency,719.0
County,Hickman,2008,Currency,604.0
County,Hickman,2009,Currency,796.0
County,Hickman,2010,Currency,822.0
County,Hickman,2011,Currency,838.0
County,Hickman,2012,Currency,774.0
County,Hickman,2013,Currency,843.0
County,Hickman,2014,Currency,931.0
County,Hickman,2015,Currency,946.0
County,Hickman,2016,Currency,910.0
County,Hickman,2017,Currency,954.0
County,Hickman,2018,Currency,927.0
County,Hickman,2019,Currency,1006.0
County,Marshall,1997,Currency,486.0
County,Marshall,1998,Currency,496.0
County,Marshall,1999,Currency,502.0
County,Marshall,2000,Currency,502.0
County,Marshall,2001,Currency,507.0
County,Marshall,2002,Currency,520.0
County,Marshall,2003,Currency,536.0
County,Marshall,2004,Currency,536.0
County,Marshall,2005,Currency,605.0
County,Marshall,2006,Currency,623.0
County,Marshall,2007,Currency,648.0
County,Marshall,2008,Currency,787.0
County,Marshall,2009,Currency,706.0
County,Marshall,2010,Currency,730.0
County,Marshall,2011,Currency,731.0
County,Marshall,2012,Currency,719.0
County,Marshall,2013,Currency,852.0
County,Marshall,2014,Currency,829.0
County,Marshall,2015,Currency,842.0
County,Marshall,2016,Currency,856.0
County,Marshall,2017,Currency,873.0
County,Marshall,2018,Currency,911.0
County,Marshall,2019,Currency,902.0
County,Maury,1997,Currency,561.0
County,Maury,1998,Currency,573.0
County,Maury,1999,Currency,580.0
County,Maury,2000,Currency,580.0
County,Maury,2001,Currency,586.0
County,Maury,2002,Currency,601.0
County,Maury,2003,Currency,619.0
County,Maury,2004,Currency,619.0
County,Maury,2005,Currency,756.0
County,Maury,2006,Currency,778.0
County,Maury,2007,Currency,810.0
County,Maury,2008,Currency,678.0
County,Maury,2009,Currency,883.0
County,Maury,2010,Currency,911.0
County,Maury,2011,Currency,913.0
County,Maury,2012,Currency,775.0
County,Maury,2013,Currency,855.0
County,Maury,2014,Currency,830.0
County,Maury,2015,Currency,1007.0
County,Maury,2016,Currency,994.0
County,Maury,2017,Currency,1099.0
County,Maury,2018,Currency,1114.0
County,Maury,2019,Currency,1242.0
County,Montgomery,1997,Currency,578.0
County,Montgomery,1998,Currency,593.0
County,Montgomery,1999,Currency,605.0
County,Montgomery,2000,Currency,608.0
County,Montgomery,2001,Currency,618.0
County,Montgomery,2002,Currency,636.0
County,Montgomery,2003,Currency,652.0
County,Montgomery,2004,Currency,654.0
County,Montgomery,2005,Currency,797.0
County,Montgomery,2006,Currency,814.0
County,Montgomery,2007,Currency,847.0
County,Montgomery,2008,Currency,602.0
County,Montgomery,2009,Currency,938.0
County,Montgomery,2010,Currency,960.0
County,Montgomery,2011,Currency,959.0
County,Montgomery,2012,Currency,986.0
County,Montgomery,2013,Currency,933.0
