Partner,Address,Longitude,Latitude
Alex Green Elementary,"3921 Lloyd Road, Nashville, TN 37189",-86.8357908,36.2526756
Antioch High School,"1900 Hobson Pike, Antioch, TN 37013",-86.59845889,36.0470511
Catholic Charities,"2806 McGavock Pk, Nashville, TN 37214",-86.6799194,36.1688698
Cole Elementary,"5060 Colemont Dr, Antioch, TN 37013",-86.6952435,36.0607064
Connectus Priest Lake,"2637 Murfreesboro Pike, Nashville, TN 37217",-86.6669333,36.1035705
Connectus Vine Hill,"601 Benton Avenue, Nashville, TN 37204",-86.776859,36.1323065
Fall Hamilton Elementary,"510 Wedgewood Ave, Nashville, TN 37203",-86.7656014,36.1338458
Glencliff High School,"160 Antioch Pike, Nashville, TN 37211",-86.7177819,36.1031603
Glenview Elementary,"1020 Patricia Dr, Nashville, TN 37217",-86.7064086,36.12844185
H G Hill Middle School,"150 Davidson Rd, Nashville, TN 37205",-86.86684228,36.1166593
Haynes Middle School,"510 W Trinity Ln, Nashville, TN 37207",-86.7745874,36.2064106
Haywood Elementary,"3790 Turley Dr, Nashville, TN 37211",-86.7088055,36.0747898
Hillsboro High School,"3812 Hillsboro Pike, Nashville, TN 37215",-86.8165964,36.1029018
Hillwood High School,"400 Davidson Rd, Nashville, TN 37205",-86.87329332,36.1184204
Hispanic Family Foundation,"3927 Nolensville Pike, Nashville, TN 37211",-86.7235897,36.0714051
Hull Jackson Elementary,"1015 Kellow St, Nashville, TN 37208",-86.80721969,36.18998195
Ida B Wells Elementary,"244 Foster St, Nashville, TN 37207",-86.7674669,36.1788583
J.E. Moss Elementary,"4701 Bowfield Dr, Nashville, TN 37013",-86.6674126,36.0627595
Jere Baxter Middle School,"350 Hart Ln, Nashville, TN 37207",-86.7488896,36.2189568
John Early Museum Magnet MS,"1000 Cass St, Nashville, TN 37208",-86.80526619,36.18748655
Jones Paidia Magnet MS,"1800 9th Ave N, Nashville, TN 37208",-86.8026764,36.1831469
KIPP Academy Nashville MS,"123 Douglas Ave, Nashville, TN 37207",-86.7705971,36.1942347
KIPP Kirkpatrick Elementary,"1000 Sevier St, Nashville, TN 37206",-86.738368,36.1660216
KIPP Nashville College Prep,"3410 Knight Dr, Nashville, TN 37189",-86.809442,36.2611036
Legacy Mission Village,"5123 Nolensville Pike, Nashville, TN 37211",-86.7235897,36.0714051
Madison Middle School,"300 W Old Hickory Blvd, Madison, TN 37115",-88.8391871,35.654125
Maplewood High School,"401 Walton Ln, Nashville, TN 37216",-86.7505093,36.2332278
Martha O'Bryan,"711 S 7th St, Nashville, TN 37206",-86.7606294,36.1740309
McGavock High School,"3150 McGavock Pike, Nashville, TN 37214",-86.67830187,36.18638025
McGruder Family Resource Center,"2013 25th Ave N, Nashville, TN 37208",-86.8160853,36.1751956
McKissick Middle School,"915 38th Ave N, Nashville, TN 37209",-86.8307644,36.1483914
McMurray Middle Prep,"520 McMurray Dr, Nashville, TN 37211",-86.7249476,36.057446
Monroe Harding,"1 Vantage Way, Nashville, TN 37228",-86.7980008,36.1912105
Napier Elementary,"67 Fairfield Ave, Nashville, TN 37210",-86.7563692,36.1527041
Nashville Women's Rescue Mission,"1716 Rosa L Parks Blvd, Nashville, TN 37208",-86.7932002,36.1760719
NeedLink Nashville,"1600 56th Ave N, Nashville, TN 37209",-86.8556838,36.1629664
NICE Highlands Apartments,"4646 Nolensville Pike, Nashville, TN 37211",-86.7235897,36.0714051
Overton High School,"4700 Franklin Pike, Nashville, TN 37220",-86.7760633,36.0504833
Pearl Cohn High School,"904 26th Ave N, Nashville, TN 37208",-86.8174302,36.1700874
Robert Churchwell Elementary,1625 Dr DB Todd Jr. Blvd,-86.8029633,36.1621374
Shwab Elementary School,"1500 Dickerson Pike, Nashville, TN 37207",-86.77206995,36.20006185
Stratford High School,"1800 Stratford Ave, Nashville, TN 37216",-86.71844,36.19828
Tom Joy Elementary,"2201 Jones Ave, Nashville, TN 37207",-86.75593114,36.2087642
